mext_food_name,mext_code,ingredient_id,ingredient_name
こめ　［水稲めし］　精白米　うるち米,01088,6,米
こむぎ　［パン類］　角形食パン　焼き,01174,7,食パン
こむぎ　［うどん・そうめん類］　うどん　ゆで,01039,1,うどん
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,01064,3,パスタ
こむぎ　［中華めん類］　中華めん　ゆで,01048,4,中華麺
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,01049,5,焼きそば麺
そば　そば　ゆで,01128,2,そば
鶏卵　全卵　生,12004,61,卵
鶏卵　全卵　目玉焼き,12021,61,卵
鶏卵　全卵　いり,12022,61,卵
（たまねぎ類）　たまねぎ　りん茎　生,06153,29,玉ねぎ
（にんじん類）　にんじん　根　皮なし　生,06214,14,にんじん
（にんじん類）　にんじん　根　皮なし　ゆで,06215,14,にんじん
（にんじん類）　にんじん　根　皮なし　油いため,06345,14,にんじん
（キャベツ類）　キャベツ　結球葉　生,06061,19,キャベツ
（キャベツ類）　キャベツ　結球葉　油いため,06333,19,キャベツ
（もやし類）　りょくとうもやし　油いため,06413,16,もやし
（ピーマン類）　青ピーマン　果実　生,06245,22,ピーマン
（ピーマン類）　青ピーマン　果実　油いため,06246,22,ピーマン
（だいこん類）　だいこん　根　皮なし　生,06134,27,大根
（だいこん類）　だいこん　根　皮なし　ゆで,06135,27,大根
（だいこん類）　切干しだいこん　ゆで,06334,26,切干大根
（ごぼう類）　ごぼう　根　ゆで,06085,10,ごぼう
（なす類）　なす　果実　生,06191,13,なす
（なす類）　なす　果実　油いため,06342,13,なす
（なす類）　なす　果実　天ぷら,06343,13,なす
（ねぎ類）　根深ねぎ　葉　軟白　生,06226,30,長ねぎ
（ねぎ類）　葉ねぎ　葉　生,06227,31,青ねぎ
（しょうが類）　しょうが　根茎　皮なし　生,06103,11,しょうが
（トマト類）　赤色トマト　果実　生,06182,21,トマト
（レタス類）　レタス　土耕栽培　結球葉　生,06312,25,レタス
（かぼちゃ類）　日本かぼちゃ　果実　ゆで,06047,8,かぼちゃ
（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,06378,20,コーン
ほうれんそう　葉　通年平均　ゆで,06268,15,ほうれん草
こまつな　葉　生,06086,28,小松菜
こまつな　葉　ゆで,06087,28,小松菜
きゅうり　果実　生,06065,9,きゅうり
ブロッコリー　花序　ゆで,06264,23,ブロッコリー
アスパラガス　若茎　生,06007,17,アスパラガス
オクラ　果実　ゆで,06033,18,オクラ
たけのこ　若茎　ゆで,06150,12,たけのこ
たけのこ　めんま　塩蔵　塩抜き,06152,24,メンマ
しいたけ　生しいたけ　菌床栽培　生,08039,32,しいたけ
しいたけ　生しいたけ　菌床栽培　ゆで,08040,32,しいたけ
なめこ　株採り　ゆで,08021,33,なめこ
わかめ　乾燥わかめ　素干し　水戻し,09041,35,わかめ
あまのり　焼きのり,09004,36,海苔
ひじき　ほしひじき　ステンレス釜　油いため,09052,34,ひじき
だいず　［豆腐・油揚げ類］　木綿豆腐,04032,39,豆腐
だいず　［豆腐・油揚げ類］　油揚げ　生,04040,37,油揚げ
だいず　［納豆類］　糸引き納豆,04046,38,納豆
＜いも類＞　じゃがいも　塊茎　皮なし　生,02017,41,じゃがいも
＜いも類＞　じゃがいも　塊茎　皮なし　水煮,02019,41,じゃがいも
＜いも類＞　（さといも類）　さといも　球茎　水煮,02011,42,里芋
＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　蒸し,02007,40,さつまいも
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　焼き,11222,52,鶏もも肉
＜鳥肉類＞　にわとり　［若どり・主品目］　もも　皮つき　から揚げ,11289,52,鶏もも肉
＜鳥肉類＞　にわとり　［若どり・主品目］　むね　皮つき　焼き,11287,51,鶏むね肉
＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　焼き,11228,43,ささみ
＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生,11129,49,豚バラ肉
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　焼き,11124,50,豚ロース肉
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,11276,50,豚ロース肉
＜畜肉類＞　ぶた　［ひき肉］　生,11163,48,豚ひき肉
＜畜肉類＞　ぶた　［ひき肉］　焼き,11280,48,豚ひき肉
＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　焼き,11315,45,ベーコン
＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　ばらベーコン,11183,45,ベーコン
＜畜肉類＞　ぶた　［ソーセージ類］　ウインナーソーセージ　焼き,11307,44,ウインナー
＜畜肉類＞　うし　［和牛肉］　もも　脂身つき　生,11019,47,牛もも肉
＜畜肉類＞　うし　［ひき肉］　焼き,11272,46,牛ひき肉
＜魚類＞　（さけ・ます類）　しろさけ　焼き,10136,60,鮭
＜魚類＞　（さば類）　まさば　焼き,10156,59,サバ
＜魚類＞　ぶり　成魚　焼き,10242,58,ぶり
＜魚類＞　ぶり　成魚　生,10241,58,ぶり
＜魚類＞　（あじ類）　まあじ　皮つき　フライ,10390,54,あじ
＜いか・たこ類＞　（いか類）　するめいか　生,10345,55,いか
＜いか・たこ類＞　（いか類）　するめいか　焼き,10347,55,いか
＜えび・かに類＞　（えび類）　バナメイえび　養殖　生,10415,56,えび
＜えび・かに類＞　（えび類）　バナメイえび　養殖　天ぷら,10416,56,えび
＜えび・かに類＞　（えび類）　ブラックタイガー　養殖　生,10329,56,えび
＜貝類＞　あさり　生,10281,53,あさり
＜貝類＞　しじみ　生,10297,57,しじみ
＜牛乳及び乳製品＞　（液状乳類）　普通牛乳,13003,64,牛乳
＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ,13040,62,チーズ
＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　全脂無糖,13025,63,ヨーグルト
バナナ　生,07107,72,バナナ
りんご　皮なし　生,07148,69,りんご
いちご　生,07012,65,いちご
ぶどう　皮なし　生,07116,66,ぶどう
キウイフルーツ　緑肉種　生,07054,71,キウイ
（かんきつ類）　うんしゅうみかん　じょうのう　早生　生,07026,67,みかん
（かんきつ類）　オレンジ　バレンシア　マーマレード　高糖度,07046,70,オレンジ
（もも類）　もも　白肉種　生,07136,68,もも
＜調味料類＞　（みそ類）　米みそ　淡色辛みそ,17045,74,味噌
＜調味料類＞　（ルウ類）　カレールウ,17051,73,カレールウ
